stock_code,transaction_date,window_id,c_p,c_i,c_d,eps,capital_ch,capital_q,capital_retail,capital_mix,noise_ratio,explain_ratio,capital_anchor_error,closure_error
000001.SZ,20260709,0,0.0,0.0,0.0,-0.001896,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.34e-19
000001.SZ,20260709,1,-0.011396,-0.000688,0.0,0.010185,-0.006102,-0.005294,-0.0,-0.005294,5.362531,0.0,0.102801,4.34e-19
000001.SZ,20260709,2,0.000885,0.005353,-0.0,-0.005286,-0.00309,0.003975,0.0,0.003975,5.555943,0.0,0.086982,4.34e-19
000001.SZ,20260709,3,0.003566,-0.002773,0.000317,0.002693,0.002072,0.001494,0.0,0.001494,0.708137,0.291863,0.561675,4.34e-19
000001.SZ,20260709,4,-0.00452,0.000825,0.000317,-0.001357,7.2e-05,-0.004593,-0.0,-0.004593,0.286584,0.713416,0.689631,4.34e-19
000001.SZ,20260709,5,0.003158,-3e-05,-0.000949,0.000676,0.001971,0.001187,0.0,0.001187,0.236739,0.763261,0.142566,4.34e-19
000001.SZ,20260709,6,-0.001394,-5.3e-05,0.000844,-0.000346,-0.002511,0.001117,0.0,0.001117,0.36464,0.63536,0.573214,4.34e-19
000001.SZ,20260709,7,0.002013,-4.3e-05,-0.000423,0.000353,1.3e-05,0.002,0.0,0.002,0.185664,0.814336,0.060661,4.34e-19
000001.SZ,20260709,8,-0.00189,-8.4e-05,0.000317,-0.000239,1.7e-05,-0.001907,-0.0,-0.001907,0.1262,0.8738,0.5127,4.34e-19
000001.SZ,20260709,9,0.000195,0.00014,-0.000424,8.9e-05,-0.001059,0.001253,0.0,0.001253,8884.422755,0.0,0.457887,4.34e-19
000001.SZ,20260709,10,-7e-06,4.4e-05,0.000212,0.0007,0.0,-7e-06,-0.0,-7e-06,0.737013,0.262987,0.661804,4.34e-19
000001.SZ,20260709,11,-0.000368,0.00022,0.000106,4.2e-05,-0.000218,-0.00015,-0.0,-0.00015,4235.69397,0.0,0.580612,4.34e-19
000001.SZ,20260709,12,-0.001809,2.1e-05,-0.000106,-3e-06,-6e-06,-0.001803,-0.0,-0.001803,0.00176,0.99824,0.002104,4.34e-19
000001.SZ,20260709,13,0.00274,0.000258,-0.000212,6.6e-05,-0.0,0.00274,0.0,0.00274,0.023007,0.976993,0.772927,4.34e-19
000001.SZ,20260709,14,-0.00206,-0.000358,0.000532,-9e-06,-0.000757,-0.001303,-0.0,-0.001303,0.004824,0.995176,0.195276,4.34e-19
000001.SZ,20260709,15,0.002144,0.000255,-0.000532,3.2e-05,0.000249,0.001895,0.0,0.001895,0.016714,0.983286,0.081288,4.34e-19
000001.SZ,20260709,16,0.002635,-0.000244,0.000425,2.8e-05,-7.1e-05,0.002706,0.0,0.002706,0.009778,0.990222,0.165117,4.34e-19
000001.SZ,20260709,17,-0.002553,-0.000376,0.000106,-1.2e-05,-0.001085,-0.001468,-0.0,-0.001468,0.004268,0.995732,0.424955,4.34e-19
000001.SZ,20260709,18,-0.000637,0.000383,-0.000637,-5.7e-05,-0.0,-0.000637,-0.0,-0.000637,0.059887,0.940113,0.004828,4.34e-19
000001.SZ,20260709,19,-0.00128,0.000102,0.000212,1.8e-05,2e-06,-0.001282,-0.0,-0.001282,0.018707,0.981293,0.011317,4.34e-19
000001.SZ,20260709,20,0.002643,0.000139,-0.0,6.8e-05,-1e-06,0.002644,0.0,0.002644,0.023694,0.976306,0.294145,4.34e-19
000001.SZ,20260709,21,0.00095,-0.000357,0.000426,-7.3e-05,9.4e-05,0.000856,0.0,0.000856,0.076774,0.923226,0.758793,4.34e-19
000001.SZ,20260709,22,-0.002439,-0.000166,-0.000213,-2e-05,-0.002102,-0.000337,-0.0,-0.000337,0.006879,0.993121,0.179492,4.34e-19
000001.SZ,20260709,23,0.000966,0.000379,-0.000425,2.8e-05,-0.000887,0.001853,0.0,0.001853,0.02961,0.97039,0.028637,4.34e-19
000001.SZ,20260709,24,-0.00125,-0.000116,0.000425,-7e-06,0.001562,-0.002812,-0.0,-0.002812,0.007283,0.992717,0.363401,4.34e-19
000001.SZ,20260709,25,-0.000659,0.000126,-0.000213,-0.000203,-0.000578,-8.1e-05,-0.0,-8.1e-05,0.214192,0.785808,0.630582,4.34e-19
000001.SZ,20260709,26,3.6e-05,2.8e-05,-0.0,-6.5e-05,2.9e-05,7e-06,0.0,7e-06,6456.673159,0.0,0.798787,4.34e-19
000001.SZ,20260709,27,-0.000872,-3.2e-05,0.000107,-0.000152,0.0,-0.000872,-0.0,-0.000872,0.160245,0.839755,0.0,4.34e-19
000001.SZ,20260709,28,-0.000953,5.4e-05,-0.000107,5.5e-05,0.0,-0.000953,-0.0,-0.000953,0.057649,0.942351,0.006876,4.34e-19
000001.SZ,20260709,29,-0.001105,0.000158,-0.0,-4e-06,2e-05,-0.001126,-0.0,-0.001126,0.003972,0.996028,0.016077,4.34e-19
000001.SZ,20260709,30,-0.001019,0.000129,-0.0,-6.2e-05,-2e-06,-0.001017,-0.0,-0.001017,0.064915,0.935085,0.00094,4.34e-19
000001.SZ,20260709,31,-0.00014,0.0001,-0.0,4e-05,-7e-06,-0.000133,-0.0,-0.000133,4017.59383,0.0,0.061746,4.34e-19
000001.SZ,20260709,32,-0.000126,2e-05,0.000107,-1e-06,-5.1e-05,-7.5e-05,-0.0,-7.5e-05,137.881606,0.0,0.031891,4.34e-19
000001.SZ,20260709,33,-0.000156,-1e-06,0.0,0.000157,-5e-05,-0.000106,-0.0,-0.000106,15668.55919,0.0,0.320113,4.34e-19
000001.SZ,20260709,34,-2.9e-05,7.8e-05,0.0,0.000903,-0.0,-2.9e-05,-0.0,-2.9e-05,0.947744,0.052256,0.340169,4.34e-19
000001.SZ,20260709,35,-0.002135,0.000321,0.000107,-0.000198,-0.000702,-0.001433,-0.0,-0.001433,0.103833,0.896167,0.137021,4.34e-19
000001.SZ,20260709,36,0.00106,0.000162,-0.000322,5.4e-05,0.001814,-0.000755,-0.0,-0.000755,0.056625,0.943375,0.357988,4.34e-19
000001.SZ,20260709,37,-5.9e-05,-0.000104,0.000322,-0.000159,0.000146,-0.000205,-0.0,-0.000205,15881.1553,0.0,0.415701,4.34e-19
000001.SZ,20260709,38,-0.0,-7.9e-05,-0.000107,-0.00172,-0.0,-0.0,-0.0,-0.0,0.901951,0.098049,0.176373,4.34e-19
000001.SZ,20260709,39,0.000812,-0.000599,-0.000215,1e-06,1e-06,0.000811,0.0,0.000811,133.405696,0.0,0.441729,4.34e-19
000001.SZ,20260709,40,-0.000175,1e-06,0.000215,-4e-05,-0.000241,6.5e-05,0.0,6.5e-05,3991.198714,0.0,0.107308,4.34e-19
000001.SZ,20260709,41,0.00017,-2e-05,0.0,-0.00015,0.000264,-9.4e-05,-0.0,-9.4e-05,14989.084718,0.0,0.098478,4.34e-19
000001.SZ,20260709,42,0.001037,-7.5e-05,0.0,0.000949,0.000996,4e-05,0.0,4e-05,0.496615,0.503385,0.822563,4.34e-19
000001.SZ,20260709,43,0.000644,0.000212,0.000215,-0.000119,0.000635,9e-06,0.0,9e-06,0.124556,0.875444,0.278959,4.34e-19
000001.SZ,20260709,44,0.000392,-0.00019,-0.000108,-9.4e-05,0.000477,-8.5e-05,-0.0,-8.5e-05,9396.541731,0.0,0.640622,4.34e-19
000001.SZ,20260709,45,0.000162,-4.7e-05,-0.000107,-7e-06,0.000882,-0.00072,-0.0,-0.00072,722.173518,0.0,0.550428,4.34e-19
000001.SZ,20260709,46,-0.000916,-4e-06,0.0,-3.3e-05,-0.0,-0.000916,-0.0,-0.000916,0.03449,0.96551,0.320638,4.34e-19
000001.SZ,20260709,47,-1.1e-05,0.000114,-0.000107,4e-06,2.5e-05,-3.6e-05,-0.0,-3.6e-05,440.937769,0.0,0.38799,4.34e-19
